SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,Filter,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE2020,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,NPOPCHG_2018,NPOPCHG_2019,NPOPCHG_2020,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,BIRTHS2017,BIRTHS2018,BIRTHS2019,BIRTHS2020,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,DEATHS2017,DEATHS2018,DEATHS2019,DEATHS2020,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,NATURALINC2017,NATURALINC2018,NATURALINC2019,NATURALINC2020,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,INTERNATIONALMIG2017,INTERNATIONALMIG2018,INTERNATIONALMIG2019,INTERNATIONALMIG2020,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016,DOMESTICMIG2017,DOMESTICMIG2018,DOMESTICMIG2019,DOMESTICMIG2020,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,NETMIG2017,NETMIG2018,NETMIG2019,NETMIG2020,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016,RESIDUAL2017,RESIDUAL2018,RESIDUAL2019,RESIDUAL2020,GQESTIMATESBASE2010,GQESTIMATES2010,GQESTIMATES2011,GQESTIMATES2012,GQESTIMATES2013,GQESTIMATES2014,GQESTIMATES2015,GQESTIMATES2016,GQESTIMATES2017,GQESTIMATES2018,GQESTIMATES2019,GQESTIMATES2020,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RBIRTH2015,RBIRTH2016,RBIRTH2017,RBIRTH2018,RBIRTH2019,RBIRTH2020,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RDEATH2015,RDEATH2016,RDEATH2017,RDEATH2018,RDEATH2019,RDEATH2020,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RNATURALINC2015,RNATURALINC2016,RNATURALINC2017,RNATURALINC2018,RNATURALINC2019,RNATURALINC2020,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RINTERNATIONALMIG2015,RINTERNATIONALMIG2016,RINTERNATIONALMIG2017,RINTERNATIONALMIG2018,RINTERNATIONALMIG2019,RINTERNATIONALMIG2020,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RDOMESTICMIG2015,RDOMESTICMIG2016,RDOMESTICMIG2017,RDOMESTICMIG2018,RDOMESTICMIG2019,RDOMESTICMIG2020,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014,RNETMIG2015,RNETMIG2016,RNETMIG2017,RNETMIG2018,RNETMIG2019,RNETMIG2020
40,3,6,1,0,Alabama,Alabama,1,4779736,4780118,4785514,4799642,4816632,4831586,4843737,4854803,4866824,4877989,4891628,4907965,4921532,5396,14128,16990,14954,12151,11066,12021,11165,13639,16337,13567,14202,59699,59074,57943,58914,59653,59695,58644,58665,57251,56739,11077,48837,48363,50853,49720,51878,51711,53196,54560,54038,58354,3125,10862,10711,7090,9194,7775,7984,5448,4105,3213,-1615,1053,5162,6282,5494,4159,5095,6301,3546,3940,2293,2078,1225,-1903,-114,2294,-996,-1553,-2148,2287,5664,10828,13115,2278,3259,6168,7788,3163,3542,4153,5833,9604,13121,15193,-7,7,111,76,-206,-251,-116,-116,-70,3,-11,116185,116242,115184,115810,116946,119052,119980,118641,117111,116600,116778,116767,12.45655261,12.28625557,12.01112993,12.17819808,12.30143919,12.28086616,12.03594158,12.00968267,11.68436281,11.54463957,10.19013149,10.05857362,10.54142848,10.27769306,10.69810508,10.63834274,10.91780827,11.1693222,11.02862129,11.87324234,2.26642112,2.227681948,1.469701452,1.900505027,1.60333411,1.642523417,1.118133309,0.840360477,0.655741519,-0.328602776,1.077082105,1.306535151,1.138863156,0.859712901,1.050673607,1.296285077,0.72777179,0.806582285,0.467978619,0.422809021,-0.397072306,-0.023709807,0.475528227,-0.205884599,-0.320254389,-0.44190134,0.469377914,1.159513213,2.209887696,2.668498703,0.680009799,1.282825344,1.614391383,0.653828301,0.730419218,0.854383736,1.197149704,1.966095498,2.677866316,3.091307724
50,3,6,1,1,Alabama,Autauga County,0,54571,54582,54761,55229,54970,54747,54922,54903,55302,55448,55533,55769,56145,179,468,-259,-223,175,-19,399,146,85,236,376,151,639,615,570,637,652,675,667,651,592,606,157,514,560,584,572,585,547,574,563,552,582,-6,125,55,-14,65,67,128,93,88,40,24,28,16,0,19,19,23,7,-3,2,-14,-8,147,327,-329,-226,102,-107,266,58,-3,208,360,175,343,-329,-207,121,-84,273,55,-1,194,352,10,0,15,-2,-11,-2,-2,-2,-2,2,0,455,455,455,455,455,455,455,455,455,455,455,455,11.61923811,11.16162579,10.39036795,11.61677411,11.87343501,12.24989792,12.04514673,11.73173787,10.63772439,10.82974427,9.34630421,10.16343161,10.64556997,10.431389,10.65331209,9.926954312,10.36568849,10.14588083,9.918959228,10.40084351,2.272933903,0.998194176,-0.25520202,1.185385113,1.220122923,2.322943605,1.679458239,1.585857039,0.718765162,0.428900763,0.29093554,0,0.346345598,0.346497187,0.418848168,0.127035978,-0.054176072,0.036042205,-0.251567807,-0.142966921,5.945995091,-5.971016071,-4.119689747,1.860142793,-1.948554519,4.827367179,1.047404063,-0.054063308,3.73757884,6.433511446,6.23693063,-5.971016071,-3.773344149,2.20663998,-1.529706351,4.954403158,0.993227991,-0.018021103,3.486011033,6.290544525
50,3,6,1,3,Alabama,Baldwin County,0,182265,182263,183121,186579,190203,194978,199306,203101,207787,212737,218071,223565,229287,858,3458,3624,4775,4328,3795,4686,4950,5334,5494,5722,514,2186,2092,2162,2215,2261,2286,2313,2297,2322,2317,534,1829,1883,1902,1988,2099,2021,2103,2325,2386,2543,-20,357,209,260,227,162,265,210,-28,-64,-226,51,192,273,240,141,165,211,104,118,63,60,780,2896,3056,4175,3861,3437,4193,4622,5234,5511,5918,831,3088,3329,4415,4002,3602,4404,4726,5352,5574,5978,47,13,86,100,99,31,17,14,10,-16,-30,2307,2307,2263,2242,2296,2331,2337,2276,2192,2171,2268,2268,11.82580471,11.10456444,11.2258912,11.2355561,11.23737907,11.1271198,11.00056121,10.66368313,10.51544711,10.23292378,9.894509061,9.995169621,9.875876536,10.08410182,10.43222409,9.837230584,10.00180727,10.79367143,10.80527856,11.23104237,1.931295645,1.109394823,1.350014668,1.151454282,0.80515498,1.289889216,0.998753936,-0.129988301,-0.289831445,-0.998118591,1.038680011,1.449113811,1.246167386,0.715220501,0.820065257,1.027043866,0.494620997,0.54780784,0.285302829,0.264987236,15.66675683,16.22158171,21.67812016,19.58486776,17.08220781,20.40945465,21.98209853,24.29852742,24.95720458,26.13657442,16.70543684,17.67069552,22.92428754,20.30008826,17.90227307,21.43649851,22.47671952,24.84633526,25.2425074,26.40156166
50,3,6,1,5,Alabama,Barbour County,0,27457,27454,27325,27344,27172,26946,26768,26300,25828,25169,24887,24657,24589,-129,19,-172,-226,-178,-468,-472,-659,-282,-230,-68,70,335,301,284,265,274,284,276,273,248,250,131,324,286,293,308,332,279,297,335,322,334,-61,11,15,-9,-43,-58,5,-21,-62,-74,-84,0,-5,-11,-8,5,13,13,9,8,6,6,-69,14,-176,-211,-141,-429,-492,-650,-228,-161,10,-69,9,-187,-219,-136,-416,-479,-641,-220,-155,16,1,-1,0,2,1,6,2,3,0,-1,0,3193,3193,3381,3391,3388,3353,3195,2977,2819,2813,2778,2777,12.25557446,11.04262969,10.49558372,9.867073761,10.32637371,10.89625537,10.82416613,10.90778328,10.01130308,10.15310888,11.85315261,10.49233253,10.82819025,11.46814611,12.51224844,10.70441989,11.64774399,13.38500879,12.99854675,13.56455347,0.402421848,0.550297161,-0.332606526,-1.601072346,-2.185874727,0.191835482,-0.823577858,-2.477225507,-2.987243662,-3.411444584,-0.182919022,-0.403551251,-0.295650246,0.186171203,0.489937439,0.498772253,0.352961939,0.319642001,0.242208946,0.243674613,0.512173261,-6.456820016,-7.797775232,-5.250027926,-16.16793548,-18.87661142,-25.49169559,-9.109797027,-6.499273373,0.406124355,0.329254239,-6.860371267,-8.093425478,-5.063856723,-15.67799804,-18.37783917,-25.13873365,-8.790155026,-6.257064428,0.649798968
50,3,6,1,7,Alabama,Bibb County,0,22915,22904,22858,22736,22657,22510,22541,22553,22590,22532,22300,22313,22136,-46,-122,-79,-147,31,12,37,-58,-232,13,-177,44,265,245,258,253,252,299,267,243,238,249,32,277,236,276,250,266,243,251,314,232,266,12,-12,9,-18,3,-14,56,16,-71,6,-17,0,12,19,20,14,14,11,7,8,7,6,-59,-124,-105,-151,18,15,-30,-80,-171,-1,-166,-59,-112,-86,-131,32,29,-19,-73,-163,6,-160,1,2,-2,2,-4,-3,0,-1,2,1,0,2224,2224,2224,2228,2224,2247,2255,2204,2153,2147,2122,2121,11.62433654,10.79461591,11.42426993,11.23171517,11.17665321,13.24679352,11.8345818,10.84047109,10.66953579,11.20385161,12.15072159,10.398079,12.22131202,11.09853277,11.79757839,10.76578872,11.12539338,14.00785154,10.40055589,11.9687732,-0.526385051,0.396536911,-0.797042088,0.133182393,-0.620925179,2.481004807,0.709188423,-3.167380443,0.268979894,-0.764921596,0.526385051,0.837133479,0.88560232,0.621517835,0.620925179,0.48734023,0.310269935,0.356887937,0.313809876,0.269972328,-5.43931219,-4.626263961,-6.686297518,0.79909436,0.665276977,-1.329109718,-3.545942112,-7.628479657,-0.044829982,-7.469234403,-4.91292714,-3.789130483,-5.800695198,1.420612195,1.286202156,-0.841769488,-3.235672178,-7.27159172,0.268979894,-7.199262076
50,3,6,1,9,Alabama,Blount County,0,57322,57322,57372,57561,57585,57630,57536,57535,57487,57801,57770,57840,57879,50,189,24,45,-94,-1,-48,314,-31,70,39,181,741,714,647,620,715,675,681,675,673,665,132,569,587,582,591,634,651,721,718,658,697,49,172,127,65,29,81,24,-40,-43,15,-32,-2,-8,8,49,43,15,32,0,4,-4,1,9,28,-100,-65,-158,-90,-102,357,10,58,68,7,20,-92,-16,-115,-75,-70,357,14,54,69,-6,-3,-11,-4,-8,-7,-2,-3,-2,1,2,489,489,489,489,489,489,489,489,489,489,489,489,12.89446895,12.40164661,11.2311765,10.76706667,12.42711022,11.73688512,11.81389217,11.68113108,11.64259147,11.49335891,9.901420828,10.19575148,10.10285119,10.26344581,11.01928375,11.31957365,12.50780654,12.42526239,11.38309835,12.0464228,2.993048124,2.205895125,1.128325305,0.50362086,1.407826472,0.417311471,-0.693914371,-0.744131313,0.259493123,-0.553063888,-0.139211541,0.138954024,0.850583691,0.746748172,0.260708606,0.556415295,0,0.069221518,-0.069198166,0.017283247,0.487240392,-1.736925295,-1.128325305,-2.743865377,-1.564251636,-1.773573751,6.193185761,0.173053794,1.003373411,1.175260761,0.348028852,-1.597971271,-0.277741614,-1.997117205,-1.30354303,-1.217158457,6.193185761,0.242275311,0.934175244,1.192544008
50,3,6,1,11,Alabama,Bullock County,0,10914,10913,10876,10680,10610,10557,10668,10404,10397,10181,10165,10144,9976,-37,-196,-70,-53,111,-264,-7,-216,-16,-21,-168,37,172,121,131,123,124,147,129,112,110,114,53,133,117,119,116,133,131,143,120,95,116,-16,39,4,12,7,-9,16,-14,-8,15,-2,1,19,8,18,6,1,8,10,14,1,5,-24,-255,-81,-83,94,-260,-31,-213,-23,-37,-170,-23,-236,-73,-65,100,-259,-23,-203,-9,-36,-165,2,1,-1,0,4,4,0,1,1,0,-1,1690,1690,1690,1779,1719,1757,1661,1729,1662,1663,1705,1704,15.95843385,11.36683889,12.37775783,11.59010601,11.76917236,14.13393587,12.53766158,11.00953504,10.83263578,11.33200795,12.33995175,10.99107562,11.24391742,10.93050648,12.62338648,12.59554829,13.89833803,11.7959304,9.355458171,11.53081511,3.618482093,0.375763269,1.133840412,0.659599529,-0.854214123,1.538387578,-1.360676451,-0.78639536,1.477177606,-0.198807157,1.762850251,0.751526538,1.700760618,0.565371025,0.09491268,0.769193789,0.97191175,1.376191881,0.098478507,0.497017893,-23.65930599,-7.6092062,-7.842396183,8.857479388,-24.67729689,-2.980625931,-20.70172028,-2.260886661,-3.643704761,-16.89860835,-21.89645574,-6.857679662,-6.141635565,9.422850412,-24.58238421,-2.211432143,-19.72980853,-0.88469478,-3.545226254,-16.40159046
50,3,6,1,13,Alabama,Butler County,0,20947,20940,20933,20867,20672,20359,20332,20168,20040,19911,19675,19501,19504,-7,-66,-195,-313,-27,-164,-128,-129,-236,-174,3,66,273,242,240,252,238,236,239,220,205,200,66,264,274,262,287,276,253,269,272,272,266,0,9,-32,-22,-35,-38,-17,-30,-52,-67,-66,0,2,6,8,22,28,44,23,21,19,16,-4,-77,-170,-304,-11,-153,-154,-121,-205,-124,52,-4,-75,-164,-296,11,-125,-110,-98,-184,-105,68,-3,0,1,5,-3,-1,-1,-1,0,-2,1,333,333,333,333,333,333,333,333,333,333,333,333,13.06220096,11.65170081,11.69847189,12.38603131,11.75308642,11.73895742,11.9646567,11.11504067,10.46559118,10.2550955,12.63157895,13.19242158,12.77083181,14.10631344,13.62962963,12.58456029,13.46649646,13.7422321,13.88605269,13.63927702,0.43062201,-1.540720768,-1.072359923,-1.720282126,-1.87654321,-0.845602865,-1.501839754,-2.627191431,-3.420461507,-3.384181515,0.09569378,0.288885144,0.389949063,1.081320194,1.382716049,2.18861918,1.151410478,1.060981155,0.969981621,0.82040764,-3.684210526,-8.185079082,-14.81806439,-0.540660097,-7.555555556,-7.660167131,-6.05742034,-10.35719699,-6.330406371,2.66632483,-3.588516746,-7.896193938,-14.42811533,0.540660097,-6.172839506,-5.471547951,-4.906009862,-9.296215834,-5.36042475,3.48673247
50,3,6,1,15,Alabama,Calhoun County,0,118572,118533,118420,117767,117227,116528,115991,115550,115036,114746,114298,114070,113469,-113,-653,-540,-699,-537,-441,-514,-290,-448,-228,-601,316,1384,1356,1307,1316,1386,1365,1338,1287,1271,1230,311,1325,1359,1411,1395,1455,1475,1393,1645,1486,1553,5,59,-3,-104,-79,-69,-110,-55,-358,-215,-323,3,39,81,68,84,77,98,31,50,-1,10,-113,-752,-607,-660,-533,-441,-500,-260,-136,-15,-289,-110,-713,-526,-592,-449,-364,-402,-229,-86,-16,-279,-8,1,-11,-3,-9,-8,-2,-6,-4,3,1,2933,2933,2882,2958,2813,2799,2774,2762,2743,2830,3286,3285,11.71952732,11.54072019,11.1826485,11.31950507,11.97196177,11.83940048,11.64582082,11.2380154,11.13115673,10.81133344,11.2199232,11.56625276,12.07246904,11.99901944,12.56796852,12.79349137,12.12453543,14.36405232,13.01408253,13.65040718,0.499604127,-0.025532567,-0.889820539,-0.679514362,-0.596006755,-0.954090881,-0.478714608,-3.126036919,-1.882925804,-2.839073741,0.330246796,0.689379303,0.581805737,0.7225216,0.665108987,0.85000824,0.269820961,0.436597335,-0.008757794,0.08789702,-6.367835656,-5.166089347,-5.646938033,-4.584571583,-3.809260563,-4.336776734,-2.263014509,-1.187544751,-0.131366917,-2.540223874,-6.03758886,-4.476710044,-5.065132297,-3.862049983,-3.144151576,-3.486768494,-1.993193549,-0.750947416,-0.140124711,-2.452326854
50,3,6,1,17,Alabama,Chambers County,0,34215,34154,34105,34016,34088,34125,33964,33991,33742,33716,33570,33244,32865,-49,-89,72,37,-161,27,-249,-26,-146,-326,-379,81,400,392,407,425,422,387,380,344,362,334,80,442,476,454,455,445,444,485,415,449,519,1,-42,-84,-47,-30,-23,-57,-105,-71,-87,-185,6,28,34,29,32,21,18,18,19,16,13,-54,-74,122,57,-158,31,-209,65,-93,-255,-208,-48,-46,156,86,-126,52,-191,83,-74,-239,-195,-2,-1,0,-2,-5,-2,-1,-4,-1,0,1,458,458,458,458,458,458,458,458,458,458,458,458,11.74380881,11.51180547,11.93320921,12.48366109,12.41998381,11.42722159,11.26626938,10.22500966,10.83605232,10.10452435,12.97690874,13.97862093,13.31124566,13.3648607,13.09690236,13.11030074,14.3793175,12.3354041,13.44029694,15.70134172,-1.233099925,-2.466815459,-1.378036445,-0.881199606,-0.676918549,-1.683079149,-3.113048119,-2.110394436,-2.604244619,-5.596817377,0.822066617,0.998472924,0.850277806,0.939946247,0.618056067,0.531498679,0.533665392,0.564753441,0.478941539,0.39328987,-2.17260463,3.582755785,1.671235688,-4.640984594,0.912368479,-6.171290213,1.927125026,-2.764319472,-7.633130781,-6.292637916,-1.350538013,4.581228709,2.521513495,-3.701038347,1.530424546,-5.639791534,2.460790418,-2.199566032,-7.154189242,-5.899348046
