Year,State_Code,County_Name,Population,Deaths,Death_per_cap,Median_Income_2010,Income_Error_Margin,_merge
2003,AL,Baldwin County,151707.0,10.0,6.591653648150711e-05,50147.0,1046.0,both
2003,AL,Jefferson County,660486.0,37.0,5.601935544432433e-05,45244.0,641.0,both
2003,AL,Mobile County,397707.0,26.0,6.53747608163799e-05,40996.0,723.0,both
2003,AR,Pulaski County,366375.0,18.0,4.9129989764585466e-05,45121.0,783.0,both
2003,AZ,Cochise County,121175.0,11.0,9.077780070146482e-05,44876.0,1551.0,both
2003,AZ,Coconino County,121545.0,11.0,9.050146036447406e-05,49510.0,1484.0,both
2003,AZ,Maricopa County,3391391.0,368.0,0.00010851004794198015,55054.0,334.0,both
2003,AZ,Mohave County,171019.0,11.0,6.432033867581964e-05,39785.0,915.0,both
2003,AZ,Pima County,903320.0,159.0,0.00017601735818978878,45521.0,546.0,both
2003,AZ,Pinal County,208772.0,18.0,8.621845841396356e-05,51310.0,1076.0,both
2003,AZ,Yavapai County,183400.0,15.0,8.178844056706652e-05,43290.0,882.0,both
2003,CA,Alameda County,1450968.0,107.0,7.37438730557807e-05,69384.0,876.0,both
2003,CA,Butte County,211584.0,40.0,0.00018905021173623715,43170.0,982.0,both
2003,CA,Contra Costa County,987662.0,64.0,6.479949618391717e-05,78385.0,859.0,both
2003,CA,El Dorado County,167436.0,10.0,5.9724312573162285e-05,70000.0,1769.0,both
2003,CA,Fresno County,844194.0,66.0,7.818108159972707e-05,46430.0,658.0,both
2003,CA,Humboldt County,128219.0,38.0,0.0002963679329896505,40089.0,1219.0,both
2003,CA,Kern County,706963.0,97.0,0.00013720661477333325,47089.0,691.0,both
2003,CA,Los Angeles County,9777324.0,730.0,7.466255593043658e-05,55476.0,234.0,both
2003,CA,Madera County,132017.0,14.0,0.00010604694849905695,46039.0,1652.0,both
2003,CA,Marin County,245030.0,19.0,7.754152552748643e-05,89268.0,1957.0,both
2003,CA,Mendocino County,87415.0,15.0,0.0001715952639707144,43759.0,1346.0,both
2003,CA,Merced County,228993.0,18.0,7.860502286096082e-05,43844.0,1566.0,both
2003,CA,Monterey County,410419.0,29.0,7.065949675819102e-05,59271.0,1270.0,both
