Year,State_Code,County_Name,Deaths,Population,Median_Income_2010,_merge,bad_merge,indicator,Death_per_cap,Imputed_death_per_cap
2003,AL,Jefferson County,69.0,660486.0,45244.0,both,0,AL-Jefferson County,0.00010446852772049673,0.00010446852772049673
2003,AL,Mobile County,26.0,397707.0,40996.0,both,0,AL-Mobile County,6.53747608163799e-05,6.53747608163799e-05
2003,AZ,Maricopa County,415.0,3391391.0,55054.0,both,0,AZ-Maricopa County,0.00012236866819543958,0.00012236866819543958
2003,AZ,Pima County,159.0,903320.0,45521.0,both,0,AZ-Pima County,0.00017601735818978878,0.00017601735818978878
2003,CA,Alameda County,124.0,1450968.0,69384.0,both,0,CA-Alameda County,8.546018933567108e-05,8.546018933567108e-05
2003,CA,Contra Costa County,64.0,987662.0,78385.0,both,0,CA-Contra Costa County,6.479949618391717e-05,6.479949618391717e-05
2003,CA,Fresno County,84.0,844194.0,46430.0,both,0,CA-Fresno County,9.9503194763289e-05,9.9503194763289e-05
2003,CA,Kern County,110.0,706963.0,47089.0,both,0,CA-Kern County,0.00015559513015532637,0.00015559513015532637
2003,CA,Los Angeles County,862.0,9777324.0,55476.0,both,0,CA-Los Angeles County,8.816318248224156e-05,8.816318248224156e-05
2003,CA,Monterey County,29.0,410419.0,59271.0,both,0,CA-Monterey County,7.065949675819102e-05,7.065949675819102e-05
2003,CA,Orange County,228.0,2940109.0,74344.0,both,0,CA-Orange County,7.754814532386385e-05,7.754814532386385e-05
2003,CA,Riverside County,174.0,1763765.0,57768.0,both,0,CA-Riverside County,9.865259827698135e-05,9.865259827698135e-05
2003,CA,Sacramento County,168.0,1324971.0,56439.0,both,0,CA-Sacramento County,0.00012679522797102728,0.00012679522797102728
2003,CA,San Bernardino County,167.0,1847860.0,55845.0,both,0,CA-San Bernardino County,9.037481194462784e-05,9.037481194462784e-05
2003,CA,San Diego County,305.0,2926814.0,63069.0,both,0,CA-San Diego County,0.00010420887695630812,0.00010420887695630812
2003,CA,San Francisco County,147.0,775046.0,71304.0,both,0,CA-San Francisco County,0.00018966616175039933,0.00018966616175039933
2003,CA,San Joaquin County,67.0,625236.0,54341.0,both,0,CA-San Joaquin County,0.00010715953655899532,0.00010715953655899532
2003,CA,San Mateo County,51.0,694437.0,85648.0,both,0,CA-San Mateo County,7.34407872852397e-05,7.34407872852397e-05
2003,CA,Santa Barbara County,44.0,402366.0,60078.0,both,0,CA-Santa Barbara County,0.00010935317596417193,0.00010935317596417193
2003,CA,Santa Clara County,78.0,1667762.0,86850.0,both,0,CA-Santa Clara County,4.676926324019854e-05,4.676926324019854e-05
2003,CA,Solano County,29.0,408397.0,68409.0,both,0,CA-Solano County,7.10093365034513e-05,7.10093365034513e-05
2003,CA,Sonoma County,42.0,463715.0,63274.0,both,0,CA-Sonoma County,9.057287342440939e-05,9.057287342440939e-05
2003,CA,Stanislaus County,82.0,486512.0,51094.0,both,0,CA-Stanislaus County,0.00016854671621666063,0.00016854671621666063
2003,CA,Tulare County,31.0,386399.0,43851.0,both,0,CA-Tulare County,8.022795090049405e-05,8.022795090049405e-05
2003,CA,Ventura County,87.0,783840.0,75348.0,both,0,CA-Ventura County,0.00011099203919167177,0.00011099203919167177
2003,CO,Adams County,42.0,378785.0,54666.0,both,0,CO-Adams County,0.00011088084269440447,0.00011088084269440447
2003,CO,Arapahoe County,45.0,514406.0,58719.0,both,0,CO-Arapahoe County,8.747953950770404e-05,8.747953950770404e-05
2003,CO,Denver County,107.0,558351.0,45501.0,both,0,CO-Denver County,0.0001916357273471347,0.0001916357273471347
2003,CO,El Paso County,53.0,551129.0,56268.0,both,0,CO-El Paso County,9.616623331379767e-05,9.616623331379767e-05
2003,CO,Jefferson County,50.0,526426.0,66075.0,both,0,CO-Jefferson County,9.498011116472211e-05,9.498011116472211e-05
2003,CT,Fairfield County,64.0,892311.0,81268.0,both,0,CT-Fairfield County,7.172387205806048e-05,7.172387205806048e-05
