Year,State_Code,County_Name,Deaths,Population,Median_Income_2010,Income_Error_Margin,_merge,Death_per_cap,imputed_death_per_cap
2003,AL,Baldwin County,10.0,151707.0,50147.0,1046.0,both,6.591653648150711e-05,6.591653648150711e-05
2003,AL,Jefferson County,69.0,660486.0,45244.0,641.0,both,0.00010446852772049673,0.00010446852772049673
2003,AL,Mobile County,26.0,397707.0,40996.0,723.0,both,6.53747608163799e-05,6.53747608163799e-05
2003,AR,Pulaski County,18.0,366375.0,45121.0,783.0,both,4.9129989764585466e-05,4.9129989764585466e-05
2003,AZ,Cochise County,11.0,121175.0,44876.0,1551.0,both,9.077780070146482e-05,9.077780070146482e-05
2003,AZ,Coconino County,11.0,121545.0,49510.0,1484.0,both,9.050146036447406e-05,9.050146036447406e-05
2003,AZ,Maricopa County,415.0,3391391.0,55054.0,334.0,both,0.00012236866819543958,0.00012236866819543958
2003,AZ,Mohave County,11.0,171019.0,39785.0,915.0,both,6.432033867581964e-05,6.432033867581964e-05
2003,AZ,Pima County,159.0,903320.0,45521.0,546.0,both,0.00017601735818978878,0.00017601735818978878
2003,AZ,Pinal County,18.0,208772.0,51310.0,1076.0,both,8.621845841396356e-05,8.621845841396356e-05
2003,AZ,Yavapai County,15.0,183400.0,43290.0,882.0,both,8.178844056706652e-05,8.178844056706652e-05
2003,CA,Alameda County,124.0,1450968.0,69384.0,876.0,both,8.546018933567108e-05,8.546018933567108e-05
2003,CA,Butte County,40.0,211584.0,43170.0,982.0,both,0.00018905021173623715,0.00018905021173623715
2003,CA,Contra Costa County,64.0,987662.0,78385.0,859.0,both,6.479949618391717e-05,6.479949618391717e-05
2003,CA,El Dorado County,10.0,167436.0,70000.0,1769.0,both,5.9724312573162285e-05,5.9724312573162285e-05
2003,CA,Fresno County,84.0,844194.0,46430.0,658.0,both,9.9503194763289e-05,9.9503194763289e-05
2003,CA,Humboldt County,38.0,128219.0,40089.0,1219.0,both,0.0002963679329896505,0.0002963679329896505
2003,CA,Kern County,110.0,706963.0,47089.0,691.0,both,0.00015559513015532637,0.00015559513015532637
2003,CA,Los Angeles County,862.0,9777324.0,55476.0,234.0,both,8.816318248224156e-05,8.816318248224156e-05
2003,CA,Madera County,14.0,132017.0,46039.0,1652.0,both,0.00010604694849905695,0.00010604694849905695
2003,CA,Marin County,19.0,245030.0,89268.0,1957.0,both,7.754152552748643e-05,7.754152552748643e-05
2003,CA,Mendocino County,15.0,87415.0,43759.0,1346.0,both,0.0001715952639707144,0.0001715952639707144
2003,CA,Merced County,18.0,228993.0,43844.0,1566.0,both,7.860502286096082e-05,7.860502286096082e-05
2003,CA,Monterey County,29.0,410419.0,59271.0,1270.0,both,7.065949675819102e-05,7.065949675819102e-05
2003,CA,Napa County,13.0,129800.0,67389.0,2141.0,both,0.00010015408320493066,0.00010015408320493066
2003,CA,Orange County,228.0,2940109.0,74344.0,498.0,both,7.754814532386385e-05,7.754814532386385e-05
2003,CA,Placer County,28.0,291883.0,74447.0,1226.0,both,9.592884820287581e-05,9.592884820287581e-05
2003,CA,Riverside County,174.0,1763765.0,57768.0,598.0,both,9.865259827698135e-05,9.865259827698135e-05
2003,CA,Sacramento County,168.0,1324971.0,56439.0,590.0,both,0.00012679522797102728,0.00012679522797102728
2003,CA,San Bernardino County,167.0,1847860.0,55845.0,482.0,both,9.037481194462784e-05,9.037481194462784e-05
2003,CA,San Diego County,305.0,2926814.0,63069.0,464.0,both,0.00010420887695630812,0.00010420887695630812
2003,CA,San Francisco County,147.0,775046.0,71304.0,899.0,both,0.00018966616175039933,0.00018966616175039933
2003,CA,San Joaquin County,67.0,625236.0,54341.0,909.0,both,0.00010715953655899532,0.00010715953655899532
2003,CA,San Luis Obispo County,10.0,254240.0,57365.0,1444.0,both,3.933291378225299e-05,3.933291378225299e-05
2003,CA,San Mateo County,51.0,694437.0,85648.0,877.0,both,7.34407872852397e-05,7.34407872852397e-05
2003,CA,Santa Barbara County,44.0,402366.0,60078.0,1101.0,both,0.00010935317596417193,0.00010935317596417193
2003,CA,Santa Clara County,78.0,1667762.0,86850.0,730.0,both,4.676926324019854e-05,4.676926324019854e-05
2003,CA,Santa Cruz County,32.0,251559.0,65253.0,1187.0,both,0.0001272067387769867,0.0001272067387769867
2003,CA,Shasta County,31.0,174417.0,43944.0,1009.0,both,0.0001777349684950435,0.0001777349684950435
2003,CA,Solano County,29.0,408397.0,68409.0,1175.0,both,7.10093365034513e-05,7.10093365034513e-05
2003,CA,Sonoma County,42.0,463715.0,63274.0,1032.0,both,9.057287342440939e-05,9.057287342440939e-05
2003,CA,Stanislaus County,82.0,486512.0,51094.0,771.0,both,0.00016854671621666063,0.00016854671621666063
2003,CA,Tulare County,31.0,386399.0,43851.0,860.0,both,8.022795090049405e-05,8.022795090049405e-05
2003,CA,Ventura County,87.0,783840.0,75348.0,951.0,both,0.00011099203919167177,0.00011099203919167177
2003,CO,Adams County,42.0,378785.0,54666.0,666.0,both,0.00011088084269440447,0.00011088084269440447
2003,CO,Arapahoe County,45.0,514406.0,58719.0,765.0,both,8.747953950770404e-05,8.747953950770404e-05
2003,CO,Boulder County,20.0,282126.0,64839.0,1281.0,both,7.089031142113807e-05,7.089031142113807e-05
2003,CO,Denver County,107.0,558351.0,45501.0,711.0,both,0.0001916357273471347,0.0001916357273471347
2003,CO,El Paso County,53.0,551129.0,56268.0,680.0,both,9.616623331379767e-05,9.616623331379767e-05
2003,CO,Jefferson County,50.0,526426.0,66075.0,598.0,both,9.498011116472211e-05,9.498011116472211e-05
2003,CO,Larimer County,23.0,268671.0,56447.0,1152.0,both,8.560655969568729e-05,8.560655969568729e-05
2003,CO,Pueblo County,10.0,147931.0,40699.0,1035.0,both,6.759908335642968e-05,6.759908335642968e-05
2003,CO,Weld County,11.0,210635.0,55596.0,1246.0,both,5.222303985567451e-05,5.222303985567451e-05
2003,CT,Fairfield County,64.0,892311.0,81268.0,944.0,both,7.172387205806048e-05,7.172387205806048e-05
2003,CT,Hartford County,90.0,868343.0,62590.0,606.0,both,0.0001036456791843776,0.0001036456791843776
2003,CT,Litchfield County,12.0,186795.0,69639.0,1251.0,both,6.424154822131213e-05,6.424154822131213e-05
2003,CT,New Haven County,80.0,837258.0,61114.0,667.0,both,9.554999773068755e-05,9.554999773068755e-05
2003,CT,New London County,29.0,265341.0,65419.0,1122.0,both,0.00010929332443911797,0.00010929332443911797
2003,CT,Windham County,14.0,112393.0,59370.0,1686.0,both,0.0001245629176194247,0.0001245629176194247
2003,DC,District of Columbia,106.0,,,,left_only,,7.858660833946124e-05
2003,DE,Kent County,10.0,134222.0,53183.0,1130.0,both,7.450343460833545e-05,7.450343460833545e-05
2003,DE,New Castle County,54.0,512919.0,62474.0,970.0,both,0.00010527978101805548,0.00010527978101805548
2003,FL,Alachua County,11.0,225862.0,40644.0,1059.0,both,4.8702304947268685e-05,4.8702304947268685e-05
2003,FL,Bay County,21.0,154726.0,47770.0,1179.0,both,0.0001357237956128899,0.0001357237956128899
