Year,State_Code,County_Name,Deaths,Population,Median_Income_2010,_merge,bad_merge,indicator
2003,AL,Jefferson County,69.0,660486.0,45244.0,both,0,AL-Jefferson County
2003,AL,Mobile County,26.0,397707.0,40996.0,both,0,AL-Mobile County
2003,AZ,Maricopa County,415.0,3391391.0,55054.0,both,0,AZ-Maricopa County
2003,AZ,Pima County,159.0,903320.0,45521.0,both,0,AZ-Pima County
2003,CA,Alameda County,124.0,1450968.0,69384.0,both,0,CA-Alameda County
2003,CA,Contra Costa County,64.0,987662.0,78385.0,both,0,CA-Contra Costa County
2003,CA,Fresno County,84.0,844194.0,46430.0,both,0,CA-Fresno County
2003,CA,Kern County,110.0,706963.0,47089.0,both,0,CA-Kern County
2003,CA,Los Angeles County,862.0,9777324.0,55476.0,both,0,CA-Los Angeles County
2003,CA,Monterey County,29.0,410419.0,59271.0,both,0,CA-Monterey County
2003,CA,Orange County,228.0,2940109.0,74344.0,both,0,CA-Orange County
2003,CA,Riverside County,174.0,1763765.0,57768.0,both,0,CA-Riverside County
2003,CA,Sacramento County,168.0,1324971.0,56439.0,both,0,CA-Sacramento County
2003,CA,San Bernardino County,167.0,1847860.0,55845.0,both,0,CA-San Bernardino County
2003,CA,San Diego County,305.0,2926814.0,63069.0,both,0,CA-San Diego County
2003,CA,San Francisco County,147.0,775046.0,71304.0,both,0,CA-San Francisco County
2003,CA,San Joaquin County,67.0,625236.0,54341.0,both,0,CA-San Joaquin County
2003,CA,San Mateo County,51.0,694437.0,85648.0,both,0,CA-San Mateo County
2003,CA,Santa Barbara County,44.0,402366.0,60078.0,both,0,CA-Santa Barbara County
2003,CA,Santa Clara County,78.0,1667762.0,86850.0,both,0,CA-Santa Clara County
2003,CA,Solano County,29.0,408397.0,68409.0,both,0,CA-Solano County
2003,CA,Sonoma County,42.0,463715.0,63274.0,both,0,CA-Sonoma County
2003,CA,Stanislaus County,82.0,486512.0,51094.0,both,0,CA-Stanislaus County
2003,CA,Tulare County,31.0,386399.0,43851.0,both,0,CA-Tulare County
2003,CA,Ventura County,87.0,783840.0,75348.0,both,0,CA-Ventura County
2003,CO,Adams County,42.0,378785.0,54666.0,both,0,CO-Adams County
2003,CO,Arapahoe County,45.0,514406.0,58719.0,both,0,CO-Arapahoe County
2003,CO,Denver County,107.0,558351.0,45501.0,both,0,CO-Denver County
2003,CO,El Paso County,53.0,551129.0,56268.0,both,0,CO-El Paso County
2003,CO,Jefferson County,50.0,526426.0,66075.0,both,0,CO-Jefferson County
2003,CT,Fairfield County,64.0,892311.0,81268.0,both,0,CT-Fairfield County
2003,CT,Hartford County,90.0,868343.0,62590.0,both,0,CT-Hartford County
2003,CT,New Haven County,80.0,837258.0,61114.0,both,0,CT-New Haven County
2003,DE,New Castle County,54.0,512919.0,62474.0,both,0,DE-New Castle County
2003,FL,Brevard County,97.0,502985.0,49523.0,both,0,FL-Brevard County
2003,FL,Broward County,230.0,1719073.0,51694.0,both,0,FL-Broward County
2003,FL,Duval County,127.0,812238.0,49463.0,both,0,FL-Duval County
2003,FL,Hillsborough County,138.0,1071415.0,49536.0,both,0,FL-Hillsborough County
2003,FL,Lee County,77.0,490139.0,50014.0,both,0,FL-Lee County
2003,FL,Miami-Dade County,111.0,2352658.0,43605.0,both,0,FL-Miami-Dade County
2003,FL,Orange County,83.0,965744.0,50138.0,both,0,FL-Orange County
2003,FL,Palm Beach County,199.0,1208940.0,53242.0,both,0,FL-Palm Beach County
2003,FL,Pasco County,62.0,385513.0,44228.0,both,0,FL-Pasco County
2003,FL,Pinellas County,135.0,923484.0,45258.0,both,0,FL-Pinellas County
2003,FL,Polk County,42.0,508118.0,43946.0,both,0,FL-Polk County
2003,FL,Seminole County,33.0,385706.0,58971.0,both,0,FL-Seminole County
2003,FL,Volusia County,48.0,465989.0,44400.0,both,0,FL-Volusia County
2003,GA,Cobb County,34.0,643816.0,65522.0,both,0,GA-Cobb County
2003,GA,DeKalb County,39.0,697130.0,51349.0,both,0,GA-DeKalb County
2003,GA,Fulton County,75.0,881850.0,56709.0,both,0,GA-Fulton County
2003,GA,Gwinnett County,21.0,666768.0,63219.0,both,0,GA-Gwinnett County
2003,HI,Honolulu County,62.0,888026.0,70093.0,both,0,HI-Honolulu County
2003,IA,Polk County,13.0,390092.0,56094.0,both,0,IA-Polk County
2003,IL,Cook County,454.0,5330484.0,53942.0,both,0,IL-Cook County
2003,IL,DuPage County,48.0,920457.0,76581.0,both,0,IL-DuPage County
2003,IL,Lake County,37.0,676086.0,78948.0,both,0,IL-Lake County
2003,IL,Will County,26.0,580392.0,75906.0,both,0,IL-Will County
2003,IN,Lake County,29.0,484460.0,48723.0,both,0,IN-Lake County
2003,IN,Marion County,74.0,865923.0,43541.0,both,0,IN-Marion County
2003,KS,Johnson County,28.0,486338.0,73733.0,both,0,KS-Johnson County
2003,KS,Sedgwick County,46.0,460981.0,47848.0,both,0,KS-Sedgwick County
2003,KY,Jefferson County,88.0,698411.0,45352.0,both,0,KY-Jefferson County
2003,LA,East Baton Rouge Parish,22.0,411473.0,46179.0,both,0,LA-East Baton Rouge Parish
2003,LA,Jefferson Parish,86.0,451533.0,48175.0,both,0,LA-Jefferson Parish
2003,MA,Bristol County,110.0,545819.0,54955.0,both,0,MA-Bristol County
2003,MA,Essex County,99.0,732303.0,64153.0,both,0,MA-Essex County
2003,MA,Hampden County,50.0,463442.0,47724.0,both,0,MA-Hampden County
2003,MA,Middlesex County,161.0,1470427.0,77377.0,both,0,MA-Middlesex County
2003,MA,Norfolk County,41.0,652781.0,81027.0,both,0,MA-Norfolk County
2003,MA,Plymouth County,48.0,485444.0,73131.0,both,0,MA-Plymouth County
2003,MA,Suffolk County,129.0,711144.0,50597.0,both,0,MA-Suffolk County
2003,MA,Worcester County,92.0,778060.0,64152.0,both,0,MA-Worcester County
2003,MD,Anne Arundel County,41.0,505443.0,83456.0,both,0,MD-Anne Arundel County
2003,MD,Baltimore County,157.0,774254.0,63959.0,both,0,MD-Baltimore County
2003,MD,Baltimore city,273.0,642324.0,,both,0,MD-Baltimore city
2003,MD,Montgomery County,28.0,914893.0,93373.0,both,0,MD-Montgomery County
2003,MD,Prince George's County,62.0,830923.0,71260.0,both,0,MD-Prince George's County
2003,MI,Genesee County,34.0,439544.0,43483.0,both,0,MI-Genesee County
2003,MI,Kent County,31.0,589458.0,49532.0,both,0,MI-Kent County
2003,MI,Macomb County,106.0,813378.0,53996.0,both,0,MI-Macomb County
2003,MI,Oakland County,113.0,1201965.0,66390.0,both,0,MI-Oakland County
2003,MI,Wayne County,343.0,2046478.0,42241.0,both,0,MI-Wayne County
2003,MN,Hennepin County,82.0,1122285.0,61328.0,both,0,MN-Hennepin County
2003,MN,Ramsey County,25.0,505612.0,51915.0,both,0,MN-Ramsey County
2003,MO,Jackson County,48.0,666782.0,46252.0,both,0,MO-Jackson County
2003,MO,St. Louis County,70.0,1008956.0,57561.0,both,0,MO-St. Louis County
2003,NC,Guilford County,29.0,434703.0,45676.0,both,0,NC-Guilford County
2003,NC,Mecklenburg County,38.0,755018.0,55294.0,both,0,NC-Mecklenburg County
2003,NC,Wake County,41.0,701347.0,63770.0,both,0,NC-Wake County
2003,NH,Hillsborough County,23.0,393018.0,69321.0,both,0,NH-Hillsborough County
