STATE,COUNTY,STNAME,CTYNAME,Year,Population,State_Code
1,1,Alabama,Autauga County,2000,43671,AL
1,3,Alabama,Baldwin County,2000,140415,AL
1,5,Alabama,Barbour County,2000,29038,AL
1,7,Alabama,Bibb County,2000,20826,AL
1,9,Alabama,Blount County,2000,51024,AL
1,11,Alabama,Bullock County,2000,11714,AL
1,13,Alabama,Butler County,2000,21399,AL
1,15,Alabama,Calhoun County,2000,112249,AL
1,17,Alabama,Chambers County,2000,36583,AL
1,19,Alabama,Cherokee County,2000,23988,AL
1,21,Alabama,Chilton County,2000,39593,AL
1,23,Alabama,Choctaw County,2000,15922,AL
1,25,Alabama,Clarke County,2000,27867,AL
1,27,Alabama,Clay County,2000,14254,AL
1,29,Alabama,Cleburne County,2000,14123,AL
1,31,Alabama,Coffee County,2000,43615,AL
1,33,Alabama,Colbert County,2000,54984,AL
1,35,Alabama,Conecuh County,2000,14089,AL
1,37,Alabama,Coosa County,2000,12202,AL
1,39,Alabama,Covington County,2000,37631,AL
1,41,Alabama,Crenshaw County,2000,13665,AL
1,43,Alabama,Cullman County,2000,77483,AL
1,45,Alabama,Dale County,2000,49129,AL
1,47,Alabama,Dallas County,2000,46365,AL
1,49,Alabama,DeKalb County,2000,64452,AL
1,51,Alabama,Elmore County,2000,65874,AL
1,53,Alabama,Escambia County,2000,38440,AL
1,55,Alabama,Etowah County,2000,103459,AL
1,57,Alabama,Fayette County,2000,18495,AL
1,59,Alabama,Franklin County,2000,31223,AL
1,61,Alabama,Geneva County,2000,25764,AL
1,63,Alabama,Greene County,2000,9974,AL
1,65,Alabama,Hale County,2000,17185,AL
1,67,Alabama,Henry County,2000,16310,AL
1,69,Alabama,Houston County,2000,88787,AL
1,71,Alabama,Jackson County,2000,53926,AL
1,73,Alabama,Jefferson County,2000,662047,AL
1,75,Alabama,Lamar County,2000,15904,AL
1,77,Alabama,Lauderdale County,2000,87966,AL
1,79,Alabama,Lawrence County,2000,34803,AL
1,81,Alabama,Lee County,2000,115092,AL
1,83,Alabama,Limestone County,2000,65676,AL
1,85,Alabama,Lowndes County,2000,13473,AL
1,87,Alabama,Macon County,2000,24105,AL
1,89,Alabama,Madison County,2000,276700,AL
1,91,Alabama,Marengo County,2000,22539,AL
1,93,Alabama,Marion County,2000,31214,AL
1,95,Alabama,Marshall County,2000,82231,AL
1,97,Alabama,Mobile County,2000,399843,AL
1,99,Alabama,Monroe County,2000,24324,AL
1,101,Alabama,Montgomery County,2000,223510,AL
1,103,Alabama,Morgan County,2000,111064,AL
1,105,Alabama,Perry County,2000,11861,AL
1,107,Alabama,Pickens County,2000,20949,AL
1,109,Alabama,Pike County,2000,29605,AL
1,111,Alabama,Randolph County,2000,22380,AL
1,113,Alabama,Russell County,2000,49756,AL
1,115,Alabama,St. Clair County,2000,64742,AL
1,117,Alabama,Shelby County,2000,143293,AL
1,119,Alabama,Sumter County,2000,14798,AL
1,121,Alabama,Talladega County,2000,80321,AL
1,123,Alabama,Tallapoosa County,2000,41475,AL
1,125,Alabama,Tuscaloosa County,2000,164875,AL
