STATE,COUNTY,STNAME,CTYNAME,Year,Population,State_Code,Median_Income_2010,Income_Error_Margin
1,1,Alabama,Autauga County,2000,43671.0,AL,53255.0,2420.0
1,3,Alabama,Baldwin County,2000,140415.0,AL,50147.0,1046.0
1,5,Alabama,Barbour County,2000,29038.0,AL,33219.0,1889.0
1,7,Alabama,Bibb County,2000,20826.0,AL,41770.0,3139.0
1,9,Alabama,Blount County,2000,51024.0,AL,45549.0,1804.0
1,11,Alabama,Bullock County,2000,11714.0,AL,31602.0,6819.0
1,13,Alabama,Butler County,2000,21399.0,AL,30659.0,2487.0
1,15,Alabama,Calhoun County,2000,112249.0,AL,38407.0,1406.0
1,17,Alabama,Chambers County,2000,36583.0,AL,31467.0,1300.0
1,19,Alabama,Cherokee County,2000,23988.0,AL,40690.0,2546.0
1,21,Alabama,Chilton County,2000,39593.0,AL,39486.0,2707.0
1,23,Alabama,Choctaw County,2000,15922.0,AL,31076.0,3328.0
1,25,Alabama,Clarke County,2000,27867.0,AL,27439.0,1684.0
1,27,Alabama,Clay County,2000,14254.0,AL,35595.0,5045.0
1,29,Alabama,Cleburne County,2000,14123.0,AL,36077.0,3003.0
1,31,Alabama,Coffee County,2000,43615.0,AL,42253.0,2075.0
1,33,Alabama,Colbert County,2000,54984.0,AL,39610.0,1384.0
1,35,Alabama,Conecuh County,2000,14089.0,AL,26944.0,4076.0
1,37,Alabama,Coosa County,2000,12202.0,AL,35560.0,3142.0
1,39,Alabama,Covington County,2000,37631.0,AL,33852.0,1905.0
1,41,Alabama,Crenshaw County,2000,13665.0,AL,35140.0,4391.0
1,43,Alabama,Cullman County,2000,77483.0,AL,38567.0,1371.0
1,45,Alabama,Dale County,2000,49129.0,AL,43353.0,1353.0
1,47,Alabama,Dallas County,2000,46365.0,AL,26029.0,1633.0
1,49,Alabama,DeKalb County,2000,64452.0,AL,35065.0,1772.0
1,51,Alabama,Elmore County,2000,65874.0,AL,53128.0,1566.0
1,53,Alabama,Escambia County,2000,38440.0,AL,31927.0,1940.0
1,55,Alabama,Etowah County,2000,103459.0,AL,36422.0,1183.0
1,57,Alabama,Fayette County,2000,18495.0,AL,34560.0,3096.0
1,59,Alabama,Franklin County,2000,31223.0,AL,33942.0,1927.0
1,61,Alabama,Geneva County,2000,25764.0,AL,34140.0,3406.0
1,63,Alabama,Greene County,2000,9974.0,AL,22222.0,3461.0
1,65,Alabama,Hale County,2000,17185.0,AL,29299.0,2201.0
1,67,Alabama,Henry County,2000,16310.0,AL,38379.0,2649.0
1,69,Alabama,Houston County,2000,88787.0,AL,41022.0,896.0
1,71,Alabama,Jackson County,2000,53926.0,AL,36312.0,2091.0
1,73,Alabama,Jefferson County,2000,662047.0,AL,45244.0,641.0
1,75,Alabama,Lamar County,2000,15904.0,AL,33887.0,3605.0
1,77,Alabama,Lauderdale County,2000,87966.0,AL,39345.0,1339.0
1,79,Alabama,Lawrence County,2000,34803.0,AL,40516.0,2726.0
1,81,Alabama,Lee County,2000,115092.0,AL,40894.0,1162.0
1,83,Alabama,Limestone County,2000,65676.0,AL,46682.0,1483.0
1,85,Alabama,Lowndes County,2000,13473.0,AL,29714.0,2660.0
1,87,Alabama,Macon County,2000,24105.0,AL,27544.0,2346.0
1,89,Alabama,Madison County,2000,276700.0,AL,55851.0,962.0
1,91,Alabama,Marengo County,2000,22539.0,AL,32940.0,2549.0
1,93,Alabama,Marion County,2000,31214.0,AL,32769.0,1838.0
1,95,Alabama,Marshall County,2000,82231.0,AL,37661.0,1509.0
1,97,Alabama,Mobile County,2000,399843.0,AL,40996.0,723.0
1,99,Alabama,Monroe County,2000,24324.0,AL,30235.0,2027.0
1,101,Alabama,Montgomery County,2000,223510.0,AL,43725.0,1042.0
1,103,Alabama,Morgan County,2000,111064.0,AL,44349.0,1300.0
1,105,Alabama,Perry County,2000,11861.0,AL,25950.0,4653.0
1,107,Alabama,Pickens County,2000,20949.0,AL,28280.0,2732.0
1,109,Alabama,Pike County,2000,29605.0,AL,29181.0,2285.0
1,111,Alabama,Randolph County,2000,22380.0,AL,34593.0,4078.0
1,113,Alabama,Russell County,2000,49756.0,AL,32481.0,1546.0
1,115,Alabama,St. Clair County,2000,64742.0,AL,48837.0,2778.0
1,117,Alabama,Shelby County,2000,143293.0,AL,68380.0,1579.0
1,119,Alabama,Sumter County,2000,14798.0,AL,25338.0,3336.0
1,121,Alabama,Talladega County,2000,80321.0,AL,36948.0,1331.0
1,123,Alabama,Tallapoosa County,2000,41475.0,AL,36904.0,3149.0
1,125,Alabama,Tuscaloosa County,2000,164875.0,AL,42311.0,1213.0
1,127,Alabama,Walker County,2000,70713.0,AL,37191.0,1751.0
1,129,Alabama,Washington County,2000,18097.0,AL,36431.0,4979.0
1,131,Alabama,Wilcox County,2000,13183.0,AL,23491.0,1720.0
1,133,Alabama,Winston County,2000,24843.0,AL,33685.0,3118.0
4,1,Arizona,Apache County,2000,69423.0,AZ,30184.0,1368.0
4,3,Arizona,Cochise County,2000,117755.0,AZ,44876.0,1551.0
4,5,Arizona,Coconino County,2000,116320.0,AZ,49510.0,1484.0
4,7,Arizona,Gila County,2000,51335.0,AZ,37580.0,2160.0
4,9,Arizona,Graham County,2000,33489.0,AZ,41683.0,3124.0
4,11,Arizona,Greenlee County,2000,8547.0,AZ,48696.0,2912.0
4,12,Arizona,La Paz County,2000,19715.0,AZ,32147.0,2694.0
4,13,Arizona,Maricopa County,2000,3072149.0,AZ,55054.0,334.0
4,15,Arizona,Mohave County,2000,155032.0,AZ,39785.0,915.0
4,17,Arizona,Navajo County,2000,97470.0,AZ,39774.0,1908.0
4,19,Arizona,Pima County,2000,843746.0,AZ,45521.0,546.0
4,21,Arizona,Pinal County,2000,179727.0,AZ,51310.0,1076.0
4,23,Arizona,Santa Cruz County,2000,38381.0,AZ,36519.0,2832.0
4,25,Arizona,Yavapai County,2000,167517.0,AZ,43290.0,882.0
4,27,Arizona,Yuma County,2000,160026.0,AZ,40340.0,1162.0
5,1,Arkansas,Arkansas County,2000,20749.0,AR,37230.0,2571.0
5,3,Arkansas,Ashley County,2000,24209.0,AR,34934.0,2270.0
5,5,Arkansas,Baxter County,2000,38386.0,AR,35606.0,1764.0
5,7,Arkansas,Benton County,2000,153406.0,AR,50434.0,988.0
5,9,Arkansas,Boone County,2000,33948.0,AR,36977.0,2294.0
5,11,Arkansas,Bradley County,2000,12600.0,AR,29908.0,3679.0
5,13,Arkansas,Calhoun County,2000,5744.0,AR,32450.0,3981.0
5,15,Arkansas,Carroll County,2000,25357.0,AR,34235.0,2677.0
5,17,Arkansas,Chicot County,2000,14117.0,AR,21676.0,2175.0
5,19,Arkansas,Clark County,2000,23546.0,AR,31968.0,3369.0
5,21,Arkansas,Clay County,2000,17609.0,AR,29066.0,2817.0
5,23,Arkansas,Cleburne County,2000,24046.0,AR,35753.0,2697.0
5,25,Arkansas,Cleveland County,2000,8571.0,AR,36957.0,6126.0
5,27,Arkansas,Columbia County,2000,25603.0,AR,35148.0,3134.0
5,29,Arkansas,Conway County,2000,20336.0,AR,32700.0,3265.0
5,31,Arkansas,Craighead County,2000,82148.0,AR,39233.0,1612.0
5,33,Arkansas,Crawford County,2000,53247.0,AR,40197.0,2040.0
5,35,Arkansas,Crittenden County,2000,50866.0,AR,33716.0,1384.0
5,37,Arkansas,Cross County,2000,19526.0,AR,37021.0,2060.0
5,39,Arkansas,Dallas County,2000,9210.0,AR,29602.0,2865.0
5,41,Arkansas,Desha County,2000,15341.0,AR,29051.0,3170.0
5,43,Arkansas,Drew County,2000,18723.0,AR,32558.0,2922.0
5,45,Arkansas,Faulkner County,2000,86014.0,AR,45287.0,1872.0
5,47,Arkansas,Franklin County,2000,17771.0,AR,32064.0,2700.0
5,49,Arkansas,Fulton County,2000,11642.0,AR,30598.0,2805.0
5,51,Arkansas,Garland County,2000,88068.0,AR,36844.0,1213.0
5,53,Arkansas,Grant County,2000,16464.0,AR,51589.0,2696.0
5,55,Arkansas,Greene County,2000,37331.0,AR,38209.0,2003.0
5,57,Arkansas,Hempstead County,2000,23587.0,AR,35708.0,2200.0
5,59,Arkansas,Hot Spring County,2000,30353.0,AR,37150.0,1964.0
5,61,Arkansas,Howard County,2000,14300.0,AR,34554.0,2974.0
5,63,Arkansas,Independence County,2000,34233.0,AR,34625.0,1574.0
5,65,Arkansas,Izard County,2000,13249.0,AR,31673.0,1830.0
5,67,Arkansas,Jackson County,2000,18418.0,AR,27615.0,4440.0
5,69,Arkansas,Jefferson County,2000,84278.0,AR,35998.0,1181.0
5,71,Arkansas,Johnson County,2000,22781.0,AR,30592.0,2073.0
5,73,Arkansas,Lafayette County,2000,8559.0,AR,27515.0,4319.0
5,75,Arkansas,Lawrence County,2000,17774.0,AR,30288.0,2898.0
5,77,Arkansas,Lee County,2000,12580.0,AR,30494.0,5594.0
5,79,Arkansas,Lincoln County,2000,14492.0,AR,35737.0,4429.0
5,81,Arkansas,Little River County,2000,13628.0,AR,33416.0,2728.0
5,83,Arkansas,Logan County,2000,22486.0,AR,37551.0,2612.0
5,85,Arkansas,Lonoke County,2000,52828.0,AR,50757.0,1762.0
5,87,Arkansas,Madison County,2000,14243.0,AR,36502.0,3838.0
5,89,Arkansas,Marion County,2000,16140.0,AR,34109.0,2862.0
