,BUYER_STATE,BUYER_COUNTY,Year,MME
128,AL,AUTAUGA,2006,17100.54222475
129,AL,AUTAUGA,2007,19152.43728865
130,AL,AUTAUGA,2008,21785.8352903875
131,AL,AUTAUGA,2009,24439.9876933875
132,AL,AUTAUGA,2010,26169.3081579375
133,AL,AUTAUGA,2011,28682.1588579375
134,AL,AUTAUGA,2012,30312.2455968
135,AL,BALDWIN,2006,51039.829050325
136,AL,BALDWIN,2007,60323.0517814875
137,AL,BALDWIN,2008,66828.523216175
138,AL,BALDWIN,2009,76385.3756083125
139,AL,BALDWIN,2010,92720.1412313625
140,AL,BALDWIN,2011,107700.1658989125
141,AL,BALDWIN,2012,128853.86015625
142,AL,BARBOUR,2006,5764.0191225
143,AL,BARBOUR,2007,6377.6101124875
144,AL,BARBOUR,2008,7119.044022725
145,AL,BARBOUR,2009,7917.18618
146,AL,BARBOUR,2010,8600.487532725
147,AL,BARBOUR,2011,9242.986620225
148,AL,BARBOUR,2012,10364.46627795
149,AL,BIBB,2006,6278.0965395
150,AL,BIBB,2007,7108.8710805
151,AL,BIBB,2008,8592.9716075
152,AL,BIBB,2009,8668.2355313625
153,AL,BIBB,2010,9217.11522
154,AL,BIBB,2011,10732.565910225
155,AL,BIBB,2012,11418.2132738625
156,AL,BLOUNT,2006,10417.4698250875
157,AL,BLOUNT,2007,10633.79300895
158,AL,BLOUNT,2008,11026.019067725
159,AL,BLOUNT,2009,12821.9467163625
160,AL,BLOUNT,2010,13645.7683840875
161,AL,BLOUNT,2011,16131.819716587499
162,AL,BLOUNT,2012,17702.5669613625
163,AL,BULLOCK,2006,549.3548185
164,AL,BULLOCK,2007,747.0804358624999
165,AL,BULLOCK,2008,956.7446143125
166,AL,BULLOCK,2009,1421.68152
167,AL,BULLOCK,2010,1981.900395
168,AL,BULLOCK,2011,2419.8201525
169,AL,BULLOCK,2012,2551.083165225
170,AL,BUTLER,2006,3828.9245140875
171,AL,BUTLER,2007,4782.530345225
172,AL,BUTLER,2008,5867.2090625
173,AL,BUTLER,2009,6636.6634275
174,AL,BUTLER,2010,7285.0180275
175,AL,BUTLER,2011,9228.78793545
176,AL,BUTLER,2012,9417.7612320375
177,AL,CALHOUN,2006,45576.3759919875
178,AL,CALHOUN,2007,56226.580392425
179,AL,CALHOUN,2008,59673.02132175
180,AL,CALHOUN,2009,66364.38719775
181,AL,CALHOUN,2010,73286.81987201251
182,AL,CALHOUN,2011,80762.3104470375
183,AL,CALHOUN,2012,90543.8294831625
184,AL,CHAMBERS,2006,13604.6055375
185,AL,CHAMBERS,2007,13984.6119238625
186,AL,CHAMBERS,2008,16042.111992725
