,County,County Code,Year,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths,State_Code,County_Name
1,"Baldwin County, AL",1003.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,AL,Baldwin County
38,"Jefferson County, AL",1073.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,37.0,AL,Jefferson County
39,"Jefferson County, AL",1073.0,2003,All other drug-induced causes,D9,32.0,AL,Jefferson County
54,"Mobile County, AL",1097.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,26.0,AL,Mobile County
106,"Cochise County, AZ",4003.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,AZ,Cochise County
109,"Coconino County, AZ",4005.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,AZ,Coconino County
116,"Maricopa County, AZ",4013.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,273.0,AZ,Maricopa County
117,"Maricopa County, AZ",4013.0,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,63.0,AZ,Maricopa County
118,"Maricopa County, AZ",4013.0,2003,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,32.0,AZ,Maricopa County
119,"Maricopa County, AZ",4013.0,2003,All other drug-induced causes,D9,47.0,AZ,Maricopa County
122,"Mohave County, AZ",4015.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,AZ,Mohave County
127,"Pima County, AZ",4019.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,145.0,AZ,Pima County
128,"Pima County, AZ",4019.0,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,14.0,AZ,Pima County
131,"Pinal County, AZ",4021.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,AZ,Pinal County
135,"Yavapai County, AZ",4025.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,AZ,Yavapai County
200,"Pulaski County, AR",5119.0,2003,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,18.0,AR,Pulaski County
219,"Alameda County, CA",6001.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,96.0,CA,Alameda County
220,"Alameda County, CA",6001.0,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,11.0,CA,Alameda County
221,"Alameda County, CA",6001.0,2003,All other drug-induced causes,D9,17.0,CA,Alameda County
226,"Butte County, CA",6007.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,40.0,CA,Butte County
231,"Contra Costa County, CA",6013.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,53.0,CA,Contra Costa County
232,"Contra Costa County, CA",6013.0,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,11.0,CA,Contra Costa County
